postal_code,province_code,municipality_code,municipality_name
01001,01,01059,Gasteiz / Vitoria
01002,01,01059,Gasteiz / Vitoria
01003,01,01059,Gasteiz / Vitoria
01004,01,01059,Gasteiz / Vitoria
01005,01,01059,Gasteiz / Vitoria
01006,01,01059,Gasteiz / Vitoria
01007,01,01059,Gasteiz / Vitoria
01008,01,01059,Gasteiz / Vitoria
01009,01,01059,Gasteiz / Vitoria
01010,01,01059,Gasteiz / Vitoria
01012,01,01028,Bastida / Labastida
01013,01,01059,Gasteiz / Vitoria
01015,01,01059,Gasteiz / Vitoria
01071,01,01071,Vitoria-Gasteiz
01080,01,01080,Vitoria-Gasteiz
01100,01,01100,Centro Militar Araka
01110,01,01017,Kanpezu / Campezo
01117,01,01017,Kanpezu / Campezo
01118,09,09109,Condado de Treviño
01118,01,09109,Condado de Treviño
01120,01,01037,Arraia-Maeztu
01128,01,01016,Bernedo
01129,01,01037,Arraia-Maeztu
01130,01,01063,Zuia
01138,01,01018,Zigoitia
01139,01,01063,Zuia
01160,01,01003,Aramaio
01165,01,01003,Aramaio
01169,01,01003,Aramaio
01170,01,01058,Legutio
01191,01,01901,Iruña Oka / Iruña de Oca
01192,01,01021,Burgelu / Elburgo
01193,01,01021,Burgelu / Elburgo
01194,01,01016,Bernedo
01195,01,01901,Iruña Oka / Iruña de Oca
01196,01,01018,Zigoitia
01200,01,01051,Agurain / Salvatierra
01206,01,01013,Barrundia
01207,01,01051,Agurain / Salvatierra
01208,01,01013,Barrundia
01211,09,01006,Armiñón
01211,01,01006,Armiñón
01212,01,01028,Bastida / Labastida
01213,01,01046,Erriberagoitia / Ribera Alta
01216,01,01016,Bernedo
01220,01,01006,Armiñón
01230,01,01901,Iruña Oka / Iruña de Oca
01240,01,01001,Dulantzi / Alegría
01250,01,01009,Asparrena
01260,01,01009,Asparrena
01300,01,01031,Laguardia
01306,01,01033,Lapuebla de Labarca
01307,01,01011,Mañueta / Baños de Ebro
01308,01,01031,Laguardia
01309,01,01031,Laguardia
01320,01,01043,Oion / Oyón
01321,01,01031,Laguardia
01322,01,01039,Moreda Araba / Moreda de Álava
01330,01,01028,Bastida / Labastida
01340,01,01022,Elciego
01400,01,01036,Laudio / Llodio
01408,01,01010,Aiara / Ayala
01409,01,01042,Okondo
01420,01,01046,Erriberagoitia / Ribera Alta
01423,01,01046,Erriberagoitia / Ribera Alta
01426,01,01046,Erriberagoitia / Ribera Alta
01427,09,01055,Gaubea / Valdegovía
01427,01,01055,Gaubea / Valdegovía
01428,01,01046,Erriberagoitia / Ribera Alta
01430,01,01020,Kuartango
01439,01,01020,Kuartango
01440,01,01054,Urkabustaiz
01449,01,01054,Urkabustaiz
01450,01,01002,Amurrio
01468,01,01002,Amurrio
01470,01,01002,Amurrio
01474,01,01004,Artziniega
01476,01,01010,Aiara / Ayala
01477,01,01010,Aiara / Ayala
01478,01,01004,Artziniega
01479,01,01010,Aiara / Ayala
01510,01,01058,Legutio
01520,01,01059,Gasteiz / Vitoria
02001,02,02003,Albacete
02002,02,02003,Albacete
02003,02,02003,Albacete
02004,02,02003,Albacete
02005,02,02003,Albacete
02006,02,02003,Albacete
02007,02,02007,Albacete (CP 02007)
02008,02,02003,Albacete
02049,02,02003,Albacete
02070,02,02070,Albacete (CP 02070)
02071,02,02003,Albacete
02080,02,02080,Albacete (CP 02080)
02100,02,02073,Tarazona de la Mancha
02110,02,02035,"Gineta, La"
02120,02,02060,Peñas de San Pedro
02124,02,02006,Alcadozo
02125,02,02011,Ayna
02127,02,02060,Peñas de San Pedro
02129,02,02063,Pozohondo
02130,02,02017,Bogarra
02136,02,02058,Paterna del Madera
02137,02,02058,Paterna del Madera
02139,02,02011,Ayna
02140,02,02003,Albacete
02141,02,02063,Pozohondo
02142,02,02044,Liétor
02150,02,02075,Valdeganga
02151,02,02021,Casas de Juan Núñez
02152,02,02002,Alatoz
02153,02,02020,Carcelén
02154,02,02064,Pozo-Lorente
02155,02,02003,Albacete
02156,02,02029,Chinchilla de Monte-Aragón
02160,02,02043,Lezuza
02161,02,02043,Lezuza
02162,02,02038,"Herrera, La"
02200,02,02024,Casas-Ibáñez
02210,02,02007,Alcalá del Júcar
02211,02,02007,Alcalá del Júcar
02212,02,02023,Casas de Ves
02213,02,02077,Villa de Ves
02214,02,02007,Alcalá del Júcar
02215,02,02005,Alborea
02220,02,02052,Motilleja
02230,02,02045,Madrigueras
02240,02,02046,Mahora
02246,02,02054,Navas de Jorquera
02247,02,02026,Cenizate
02248,02,02041,Jorquera
02249,02,02034,Fuentealbilla
02250,02,02001,Abengibre
02251,02,02034,Fuentealbilla
02252,02,02007,Alcalá del Júcar
02253,02,02036,Golosalvo
02260,02,02034,Fuentealbilla
02270,02,02079,Villamalea
02300,02,02008,Alcaraz
02310,02,02085,Viveros
02311,02,02062,Povedilla
02312,02,02008,Alcaraz
02313,02,02059,Peñascosa
02314,02,02008,Alcaraz
02315,02,02076,Vianos
02316,02,02070,Salobre
02320,02,02012,Balazote
02326,02,02071,San Pedro
02327,02,02065,Pozuelo
02328,02,02003,Albacete
02329,02,02022,Casas de Lázaro
02340,02,02068,Robledo
02350,02,02080,Villapalacios
02360,02,02016,Bienservida
02400,02,02037,Hellín
02409,02,02037,Hellín
02410,02,02044,Liétor
02420,02,02037,Hellín
02430,02,02030,Elche de la Sierra
02434,02,02042,Letur
02435,02,02072,Socovos
02436,02,02031,Férez
02437,02,02072,Socovos
02439,02,02030,Elche de la Sierra
02440,02,02049,Molinicos
02448,02,02017,Bogarra
02449,02,02030,Elche de la Sierra
02450,02,02067,Riópar
02459,02,02058,Paterna del Madera
02460,02,02084,Villaverde de Guadalimar
02461,02,02028,Cotillas
02462,02,02067,Riópar
02480,02,02086,Yeste
02484,02,02086,Yeste
02485,02,02086,Yeste
02486,02,02086,Yeste
02487,02,02086,Yeste
02489,02,02086,Yeste
02490,02,02037,Hellín
02499,02,02037,Hellín
02500,02,02074,Tobarra
02510,02,02029,Chinchilla de Monte-Aragón
02511,02,02003,Albacete
02512,02,02003,Albacete
02513,02,02074,Tobarra
02520,02,02029,Chinchilla de Monte-Aragón
02530,02,02055,Nerpio
02534,02,02055,Nerpio
02536,02,02055,Nerpio
02600,02,02081,Villarrobledo
02610,02,02019,"Bonillo, El"
02611,02,02057,Ossa de Montiel
02612,02,02053,Munera
02614,02,02014,"Ballestero, El"
02620,02,02048,Minaya
02630,02,02069,"Roda, La"
02636,02,16060,Casas de Benítez
02637,02,02032,Fuensanta
02638,02,02050,Montalvos
02639,02,02015,Barrax
02640,02,02009,Almansa
02650,02,02051,Montealegre del Castillo
02651,02,02033,Fuente-Álamo
02652,02,02056,Ontur
02653,02,02004,Albatana
02660,02,02025,Caudete
02690,02,02010,Alpera
